"feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99"
"dim_0",0.048288693258418,-0.0145096121276494,0.0077388798954745,-0.0330079795012493,0.0769943863238537,0.0233014959467861,0.00723706440364154,-0.0150708623077248,-0.0463602853027883,0.0115295482177052,-0.0582996645028029,-0.0155380542916976,0.0364580350047722,-0.0460705168988719,-0.0598425304671958,0.00593588230288224,0.0545892890376801,0.000322944505817869,0.0161614718431295,0.0282783008354139,0.00651425053750895,-0.0317704794849678,-0.0264238055765927,-0.00873922587371814,0.0105372806848267,0.000867811371006088,0.000634170350199598,-0.002875797855593,-0.0609513519667727,0.0457235133189665,-0.0239062985580797,0.00373666554335967,-0.00402142038995791,0.00816185201190378,0.0208946511368575,-0.0200358491949837,0.0284107611527358,0.0285202399046147,0.0154081939864972,-0.0100787758494281,-0.0346906559957319,-0.0456808268210324,-0.0225116908343864,0.0197816037455072,0.0196668477213526,0.0459285577107964,0.0422515740736164,-0.0643255439322545,0.00624123723044978,-0.0400960458507481,0.0646565468537568,-0.0355104032175284,-0.00489431825232068,0.0749254745085036,-0.0591669859952029,0.0527106444802392,-0.0590418951581379,0.0478027497947709,-0.0290241815716748,-0.0281047718610005,-0.0253389339913597,0.0238197360729108,-0.0518366709627152,0.00959728569887826,0.0201504658728286,-0.0290738900444702,0.00394097191375201,0.0232242828761343,0.0392355836206322,-0.0159036022949855,-0.0635967640476943,0.0298345218322766,0.010037563399516,0.0566151715326641,-0.0260392528047845,0.000875591848163233,0.0522288713177331,0.0568342344316844,0.00207783465423063,-0.0361092301614012,-0.0479692712460369,0.00742432871972656,-0.0168971716587161,0.00295807391511703,-0.010808665068074,0.00362085022179074,-0.0271125837699569,-0.0830408970792653,-0.0303947125858356,-0.0411631792535454,-0.00913446157211549,0.0233012144435552,0.0124502806434704,0.00834150373015827,-0.0426753331725277,0.0358555410451497,0.0057849898770338,-0.00161981845402565,-0.0759419398092573
"dim_1",-0.00443337462896626,0.0500404985833013,0.0144472117823699,0.0204631306249772,0.0902305369501674,0.024855224381435,-0.0265834880477034,-0.0144342270958118,0.0300242733292537,-0.052292289914512,-0.00826036972597392,-0.0178907327337396,-0.00191864023273686,0.0379404043567551,-0.0416633463039743,0.0144564756490426,0.033848950483717,-0.0807579678462334,-0.0151871370347582,0.0111356545445123,-0.0351962403503532,0.00879071131039805,-0.00242807678875549,-0.0312226528891415,0.0203163752042749,0.0174659660032107,-0.00517528159265375,-0.0314368480396747,0.0544679163561842,0.0198603800987512,-0.0198730188664747,-0.0569510338082154,0.0269166244439202,0.0425467909642265,0.028142705240692,-0.00780242202692664,0.0161112007649226,-0.0266301913028272,0.0392877823339172,-0.00988025191500706,-0.0651359238996068,-0.0153360786069783,0.0434826950282483,0.0162510704983063,-0.0154544828378152,0.0371286172481461,-0.0261270475418434,0.0634686050702556,-0.00881783455165741,-0.000437267474967134,-0.0316425361984346,-0.0613166583242493,-0.0603400480974571,0.0254973736956386,0.00632068602918148,-0.00726528538441143,-0.00982667372872423,0.00383153936394646,0.00467250415504095,0.00159735751048729,0.00142790131959436,-0.0242156636479564,-0.00606323067851457,-0.0205678204737896,-0.0154411527158167,0.0632217137429192,0.0522406775848981,0.0161702928112551,0.0291777508294685,0.0235790154041056,-0.0751847648439003,-0.0283706397262631,-0.0292489931097288,0.0571085157117912,0.085145143408907,0.00153003687283627,0.0438197027006934,-0.0243145272266496,-0.0496105301010022,0.0088853219305656,0.0227482992395631,-0.0355580721765078,0.0270731376253115,0.0141629909862964,-0.0239508429614647,0.0210885870537958,-0.00287865711080828,0.0549965067691472,-0.00936347551225122,-0.00373721586762513,-0.0505192427249561,0.0204166483783658,-0.00827560972153773,0.0536856432568674,-0.0448284819184116,-0.0171798499663358,-0.0802044127246904,0.027561249634489,-0.00629813621605508
"dim_2",0.0116140963504345,-0.035581996145407,0.0411093437468869,0.000773655355947201,-0.0144368057077159,-0.0317278214231127,-0.0223384982744697,-0.0239187230831356,-0.0979950029393085,0.00506884553104463,0.077643004676971,0.00899534661249236,-0.0364478349255034,0.0660349504960035,-0.0199708686819149,0.0187406393766248,0.00632065148788784,0.00292778028730987,0.0354123418849738,0.0333541074833557,0.035377349949393,-0.0534947978126815,0.0403772842943581,-0.0522674682146519,0.00992105027032705,-0.02917315997505,-0.00973358654670597,-0.00155336080669254,-0.0378142601535653,0.00817145699039319,-0.00661537814029815,0.0541656351547851,0.0201780074322654,0.0498500728287844,0.0351876660493649,-0.0176010385717164,-0.00218255802660078,0.0255467985751496,-0.0212108959903746,0.00750336539794195,-0.0283322191689395,0.0760988937781231,-0.0380548626205818,0.0298307332895123,-0.0229406333759975,0.00973715624707491,-0.00183970205756615,-0.00981451351313203,0.006148086418253,0.0325150320733081,-0.00317624433933751,0.0418633227120013,0.00730673546608191,-0.0283722166537688,0.0388421490995473,-0.0735768543752959,0.00593555383748024,0.00105647493014453,0.00995331140159787,0.0627407927185428,0.0306280714953651,0.0298685334201573,-0.0095554917408549,0.00433681345043062,0.0570187226615826,-0.033345384168119,-0.0176217548901049,-0.0155946055151447,0.0410302121831721,0.0330621841431646,-0.0271044951177628,-0.0376437740171327,0.0210156184465227,-0.0263639275054847,-0.0321417580813334,0.0533645461858815,-0.0447780967671211,3.86616487575694e-05,0.0335107583930381,0.0137858303743434,0.026900373775773,0.047595529749771,-0.0432793490452906,-0.0486472768403548,-0.0209382451537431,0.0292198240048167,0.0158339189111212,0.0197432109005392,0.0342918782265716,0.0265340671140399,-0.034901378639494,-0.0159188195181737,0.0307607473065847,0.0681007883631245,-0.0821347272339802,-0.00617848233372524,0.0200273069580807,-0.0387186205227913,-0.0149255915416595
"dim_3",-0.0216103295049319,-0.0360471166781375,-0.0104036039111814,0.0601106884573708,0.0416752212733947,-0.00532567852131887,0.0357612023662235,0.012177571862851,0.0527519838852578,0.0160998751402001,-0.0311090209994324,0.0140993299090783,-0.102740439173929,-0.0183239323747111,-0.0347519476581314,-0.0073186471637518,-0.00419753343595454,-0.0234939071851148,0.0212503887214675,-0.017423018071727,-0.0124879951268261,-0.010185005820566,-0.0705368916514357,-0.0637526744866816,-0.0111577007966921,0.0734706998841649,-0.00566469157749197,-0.0119421532362182,0.0119884198653386,-0.0230135588174252,0.0287324310417978,0.0517427807817542,0.00235829625657729,0.0349853880303524,0.00518525921832393,0.0239167710568238,-0.0453606892462358,-0.0140631035303787,-0.00120277220391139,-0.0333638436605525,0.0305030455435847,0.0517138788942764,0.0301632189290592,0.0516571821479913,0.062160485267247,-0.00456028890765441,0.00938486081644352,0.00306483413650993,-0.0443318119948478,0.0365554110194837,0.0130129785551307,0.0135885280323067,0.0156228843154101,-0.0188556414327109,0.0122766841767735,0.0488346187998949,-0.0579452786684889,0.0419854850655745,-0.0724662387885433,-0.0539013349954921,-0.0113629785414274,-0.0137353339079287,1.53104723851345e-05,-0.0308491773166072,-0.022306801154615,-0.0687340010740567,0.0379969495945312,-0.0312149733929192,-0.0544012749648353,0.0178190723272055,-0.0523421622901759,-0.0654023403622192,-0.0331085235586243,-0.0011495372154521,0.00848533759058799,-0.0117596576907435,-0.0192447948795532,9.49020223711137e-05,0.0231396112459119,0.0175500845462913,0.039326845224799,-0.054561029275546,-0.0367649827813991,-0.0138123201129134,0.0119763134633828,-0.00372777079243365,-0.000265370349795192,-0.0472817554641148,-0.0393817781110454,0.0242369800321101,0.0427469784194986,-0.0348270660157179,-0.0482242435292792,0.0415905810009522,0.0483976707351645,-0.0261642203871987,-0.0506892372197318,-0.0521454903274807,0.027588529110164
"dim_4",-0.0838370902835942,-0.0519798660124684,0.0260790916137173,-0.0228004857807127,-0.00868117682846676,-0.0301163597476094,-0.0176664466270296,0.00612078028467004,-0.0208747197682104,0.00830847879298892,0.00501280799624202,-0.0156706679160721,0.00318640930804539,0.0205718253772342,0.0428574091040808,-0.0291837095427127,-0.0168513309825857,-0.0304345435406027,-0.0412464433399697,-0.0432884602450309,-0.0141208594965606,-0.0458836745949389,0.00485194945861594,0.0353377671109939,0.0121545315822007,-0.0163790455025688,-0.0204414946297733,-0.0162467862582529,0.0306461174562507,-0.0303714387008441,-0.00108848654665092,-0.0159637218857863,0.01067578490058,0.0122552511773132,-0.0352593945397475,-0.03222165258956,0.0258859773127929,0.00514323166443294,0.0368136933988128,-0.0248436213911858,0.0173798124985991,0.00877351884991791,-0.0320305362750989,0.0166278462298072,-2.46566314264464e-07,0.0218945179390404,0.0302929660457472,0.0429299490319587,0.0183478776713777,-0.0181230577075545,-0.000574341707706608,-0.0362285801212378,-0.00923389492440722,0.00322181335440343,0.0254054668807813,0.024075326983442,-0.0347435150986027,-0.0087448818011921,0.00985279890785982,-0.0461472411179865,0.00224521373626631,0.0152315482931111,-0.0135806169215037,0.070073068892197,0.0128565806642864,-0.0274575500301213,-0.0160695974337583,-0.0154966724238819,-0.0124213179937183,0.0311816057991649,-0.00331374969470634,0.00927494335521338,-0.00745012111291896,0.0005607263545054,0.0133869036449717,-0.00662518158564358,-0.0148643102678115,0.0201327324701881,-0.0277814262421912,0.00812210734848572,-0.00204712531574632,0.0246483597578898,-0.00646186610681105,0.010587618747405,0.0318195997590486,-0.0227535785874076,-0.0200454151713507,0.0321139772162881,0.0199121718337266,0.00790275893057548,0.0231535487322078,0.0039705525871597,0.0323001751216636,-0.0142041539676037,-0.0046291720423398,0.0218490818030518,0.00723243752028974,0.00249047136190995,-0.0121732589630334
"dim_5",0.030275207992864,0.0449398380009898,0.0828116680114311,-0.00644193818609098,-0.0400693344121357,-0.0117732213554359,0.000695765847173581,0.00839958983832194,-0.00566705723452048,-0.0342861676186802,-0.0766979582828968,-0.0062901818430331,0.00348169885390661,0.0116446504974151,0.0354020219098833,-0.0387654456335522,-0.0216472869761978,-0.0110178232116622,-0.00825643410361359,0.0130377381017205,-0.0196053621668559,-0.0278292013089724,-0.0413618041296799,0.0399980227253283,-0.0158275360783219,0.0177970017690374,0.0238787224768771,-0.0116869910250681,-0.0205408347039295,-0.0376354004572984,-0.0414050863714979,0.0304460221584771,-0.0192312925118323,0.0303446148047971,0.0153734851297405,-0.0312899565947564,-0.0195878767521618,-0.0206689333874856,-0.069615326013587,0.0228417374407694,0.0148304701155343,0.0107223842712083,-0.0101713765535325,0.0334231610193714,-0.0291169861351832,-0.0301992204975248,-0.0499484303194958,-0.0451196927784672,0.00862813596455882,-0.0256299726513497,-0.00198800505738772,-0.0538190694641583,-0.0266112675252074,0.062654186570402,-0.0179430036731914,0.0381571194117292,0.00706575708650941,-0.0208309842952458,-0.0132623488020126,0.0156288269051884,-0.0155649088109371,0.0409773064875703,-0.0276927229580251,0.00981062990431089,-0.0278108443310942,-0.030704347286795,-0.0278981295390213,-0.0370363989938571,-0.000957865395165749,-0.054755965937495,0.0488459746069674,0.0106483133668547,0.0561216566055367,-0.00300341191129217,-0.00567989447404256,-0.0299661461897488,0.0459874581058176,0.0142209077682699,0.00565438397371899,0.000975717800832569,-0.0654437827073392,0.0223935304065944,0.017134951657074,-0.0185336868093156,-0.0341734091648417,-0.00223611892987688,0.00022252456756987,0.0151544651011109,-0.0413022656711735,-0.0356465788972327,0.0408562578728849,0.0146540695333727,-0.055827872975289,0.0449117652954501,-0.0423102602305032,-0.039981861101101,0.00274817265893244,0.0232558607641311,-0.0123459630307837
"dim_6",-0.0279832426561735,-0.032147702808315,-0.000410697684242966,-0.047415152603573,-0.0394152328669602,-0.0779666605520787,-0.0404172877379647,-0.0226933406769462,0.0296599140728447,-0.0285328609117456,0.0218170662010625,0.0126854150924614,-0.0104438529850552,0.0372214431686657,-0.00216215792054646,0.0313941205070909,-0.0121847450353857,0.0203542064832137,0.0127228355099933,0.0336697984329508,-0.0101635015411185,0.00760271213717618,-0.00365127070375345,-0.0844712668997387,-0.00141831432852616,0.00564333256369849,0.0127412277035573,-0.0357836190192554,-0.020604308838653,-0.0076773079205644,0.00717171865122512,-0.0540120743579381,-0.0924056343151587,-0.0758285040741202,-0.0247748343418765,0.0238030041207736,0.000121332489654401,-0.0164209381749989,0.0547122351974352,0.0026938514415663,0.0708782659817744,-0.00566508593648956,0.0138685439751913,-0.0230115272871359,-0.0136776056494838,0.0564467506361896,-0.0600453723363127,0.0279146792967051,0.00372271639334242,0.0241731749489829,0.0701715316260712,-0.0476124018945148,0.0691603072322139,-0.0770270442819674,-0.00720384424201301,0.0549256712097662,0.0175626793825289,-0.024092547745682,-0.00579596208851532,0.0189924608940912,0.0207623443388841,-0.048176127056773,0.00259537564815455,0.102277682529289,-0.0119602109139881,-0.0198797535552122,0.0554992394145595,-0.000901517539056868,-0.00273846472516287,0.0320509257963644,0.0173547437183492,-0.105578037048929,-0.0337139168900358,0.0257502251235227,0.00974436212331071,0.0438165720515293,0.00633055238401922,0.0192064735301397,-0.00997159366690476,-0.0172535221459034,-0.0112349309139502,-0.00539402560908467,-0.0146781898299115,0.016847564457004,0.0173384305901624,0.0604704407847865,0.00970898174715752,-0.0208257935420232,-0.117911893556636,-0.0556501747920296,0.000193388648488936,-0.0214438896122277,-0.0130547293743879,-0.0192034459414788,-0.0264343466124322,0.0125241774902266,-0.0205201056144054,0.000110673756183041,0.0858027558394831
"dim_7",0.0280696133582025,-0.0274828283498087,0.0563118823625886,-0.0433254802504228,-0.00612135481572685,0.0306674216365454,0.0912260065224523,-0.013424561702135,-0.00400023410859713,-0.00907117858822525,0.0291011530440083,0.0152353186683411,0.00536503664663504,0.00421738413618709,0.0115907782450456,0.0215684347759134,-0.0196101213643994,-0.00146129040704523,0.0542780080626735,-0.0117801833477019,-0.0327032455379808,0.0150710294841899,0.0244877833487815,0.0729275922846443,-0.0144832302705492,0.0357252669252622,0.0533849119990254,-0.0176684659899219,0.0199480994813426,0.000748125008217279,-0.0218537169816173,-0.030273193729601,0.019460091265722,-0.0654186519405296,0.00431315337086652,-0.0173535837826012,-0.00826993074738027,-0.0385476160917668,0.0352937450519032,0.0223270879992471,-0.0614909839807012,-0.0375369653118019,-0.0435285518565523,0.0214784961870306,0.00841141491255354,0.0140265919968413,0.059788303854562,0.0176447952789425,-0.00910054806214549,-0.05809050168235,-0.00735545912544857,0.0114522968817959,0.00826545496156811,0.0240781072942427,-0.025189714270346,-0.0699748436578409,-0.0967586955103511,-0.00565283152986827,-0.0197554242290373,-0.0242790594576197,-0.0220477058520999,0.031137750648402,-0.0206561563006461,0.0187775412899047,-0.0125877447433734,0.0373341498837705,-0.0460745351857214,0.0251478832839663,0.0455801957003001,0.0253201261380793,-0.0496572185616513,0.00586487332378476,-0.0404452995011772,0.00156463723071406,-0.0398977177740272,-0.0354890700788044,0.0104648199266165,0.0365253873279102,-0.0619403733023518,0.101251297169418,-0.0500986140780605,0.0374707253402027,-0.0129624888642497,0.0387168936926457,0.0482190455696689,-0.0579334966491009,0.0217108885635194,0.035919518030174,-0.0243228137425106,-0.102098595450415,0.000414996180043229,0.0377226036447569,-0.00305674392886985,0.0333412573875253,-0.0318614914870914,0.0295902878784708,0.0175399757938997,0.00852450065531644,-0.0314840439541078
"dim_8",0.0270662220483888,0.0492337911149192,0.00114282211564415,0.0126898643273842,-0.0737310644283861,0.032406135517698,-0.00945315421901233,0.0334083490339364,0.0105662966794038,-0.0701594467970841,-0.0411233777569196,0.0336370457449608,-0.0330024384250865,0.0183404477035259,0.00700790225921678,0.0197931142048471,-0.0536799589825596,-0.0255557031223568,-0.00453564492042389,0.0127955890725536,0.00255107153813233,-0.0495890280927174,0.0656934363215789,0.0260212633450919,-0.0217288186502401,0.00780649154435345,-0.000905647385329933,-0.0197775655881075,0.0559896817000573,-0.031204932447514,0.0179047009469167,-0.0222159236160924,-0.0287252925617036,0.0292106466820342,0.049222848767891,-0.00504861639041101,0.0171457308361742,-0.0552983530849743,-0.0496152920305277,-0.0349010789041649,-0.0532813135151239,0.0319139528724096,-0.0208617364024116,0.0116546474217768,-0.0424164441349237,0.0109847037153652,0.0510542908703064,0.00145539619645005,0.0187178936817041,-0.0232476959122153,-0.0473540705132698,-0.0148760373154343,0.0386207897587776,0.104949316964834,-0.0728842240914116,0.00525081108957249,0.0161755839022865,0.000160380422665365,-0.0174847934257048,0.0192951192307744,0.0109482179888547,0.00939450126715561,-0.0402034170330044,-0.00016551544522591,-0.016374593611845,0.0490304082570525,-0.0146298226230301,-0.00853656256710847,0.0398796073705602,0.0163854922806705,0.0178769551389095,-0.0349347098771179,-0.06245968931615,0.00729941617341082,-0.00546252603705565,-0.0358020063383907,-0.0345211876232239,-0.0345493845248636,0.0226213543312111,0.00351436909393943,0.0226276535276176,0.0135286687120635,0.0706442664406044,0.00240794313726025,-0.014306307892028,0.042488159226621,-0.00619930085524745,0.0279896874921292,0.0617108772743854,0.0255817585742407,-0.0952916059574059,-2.60619080999222e-05,-0.0139260880938142,0.0161811033961743,-0.0135348432591416,-0.0257118982678096,-0.0192744135697605,0.00308359723332828,0.067999463952941
"dim_9",0.0242534455731349,0.00284446615383512,-0.00537060480998731,-0.0115763306636234,0.0120382484592855,0.012714271652019,-0.0349762845891375,-0.00898317635685033,-0.0530799564827621,0.0864209774228476,0.0537816707558491,0.012207696376674,-0.0401158487579149,0.0050502060231278,0.0168577452438745,-0.0255768161811521,-0.0226898335076425,0.0455189956536849,0.0159049589505862,-0.0645317438024553,-0.00713795838916951,0.00299847664026818,-0.0127473315540493,-0.0834263178540723,0.0823129572494323,0.0231974438848699,0.00509416673286638,-0.0271858978969167,-0.0167541083387333,0.0190857820248778,-0.0674479160389384,-0.00801255689531028,0.0240987522641091,-0.0470255428241205,-0.0418939229542774,-0.0874170447469005,-0.077794625518214,-0.000888045920656559,-0.0258033492568799,-0.0084153248060439,-0.0378654725957987,0.0731541231262548,-0.0416027526793449,0.0438282038390764,-0.00263529517408641,0.0162458438039361,0.113312910460374,0.0134172386857301,-0.037517702039974,0.09392476235221,0.0116261480273271,-0.0161289908738093,-0.0175798092554846,0.0248041165165636,0.0193306399485745,-0.00293837678242994,0.106886073211997,0.0316404611390131,-0.0326156274376113,0.0492622588458916,-0.0746520387014051,-0.00593509980909749,-0.0875627442684534,-0.0113476551294454,0.034981234235869,0.000917172481388893,0.0469938049276067,0.00490278551282216,-0.00806038295280956,-0.0102785939264821,0.0440808582253328,-0.0716783023662942,0.0347508639156827,-0.0155729212571444,-0.0951400410343938,-0.0101187799199283,-0.0718904495751518,-0.00750801324145072,-0.0349750588260281,-0.0307506233556452,0.04294915291789,-0.0186384239754215,0.0026206999975611,-0.0123907743725715,0.0736291250944028,-0.00272094539633333,0.039672161558557,0.0234330515349046,0.0742747032562141,0.00119443199221611,-0.0236570144869441,0.016253535256877,0.0208140203529244,0.0179966216268074,0.0881998453268197,0.031912038792055,0.0904297447833498,0.00472289217530695,0.0155388399340908
