"time_months","cumulative_hazard"
0.296052631578947,0.00330176394746861
0.361842105263158,0.00663555117341622
0.460526315789474,0.00998405435398297
0.526315789473684,0.0133416152538644
0.625,0.0167099172454454
0.888157894736842,0.0201419535918633
1.51315789473684,0.0235862066925103
1.71052631578947,0.0270369158745189
1.8421052631579,0.0305040213936955
2.13815789473684,0.0339851132791526
2.20394736842105,0.0374719219927928
2.86184210526316,0.040984669593169
2.99342105263158,0.0445735901239292
3.38815789473684,0.0482200642690436
3.51973684210526,0.0519240825472113
3.7828947368421,0.0556658847229825
4.24342105263158,0.0594215475284762
4.60526315789474,0.0632508285032003
5.625,0.0671407083541081
6.38157894736842,0.0710841709732021
6.41447368421053,0.0750668710774991
7.03947368421053,0.0790624748003342
8.125,0.083127568925041
8.61842105263158,0.0915724593240614
8.94736842105263,0.0959135897902059
9.73684210526316,0.100396860378232
9.83552631578947,0.104920763387479
9.86842105263158,0.114169734607073
9.9671052631579,0.119034835378639
10.1315789473684,0.124123197604609
10.3618421052632,0.12929332790498
11.3157894736842,0.134652117909251
11.4144736842105,0.140151325438476
12.0394736842105,0.14601662387205
12.2697368421053,0.15209141538874
12.9605263157895,0.158259745186513
13.5526315789474,0.164853402641525
13.6513157894737,0.17154910630223
13.9802631578947,0.178386702606791
14.2105263157895,0.185320178230666
14.8684210526316,0.192478342312494
15.4276315789474,0.199787242139397
18.2565789473684,0.207705945599414
18.2894736842105,0.215906664392049
18.3552631578947,0.224254220276023
19.1118421052632,0.233009185695134
19.7697368421053,0.242251011421358
20.8223684210526,0.251984724323688
21.0197368421053,0.261884549906014
21.1513157894737,0.271839528153452
21.3486842105263,0.281952849815143
21.7105263157895,0.292497355376772
22.796052631579,0.303548667881446
23.3881578947368,0.314861382485093
24.9013157894737,0.327095763437547
25.1644736842105,0.339683177891757
25.2631578947368,0.35264399801021
25.3289473684211,0.36577308017941
26.3815789473684,0.379516283610476
27.2039473684211,0.393801599950479
27.5328947368421,0.422860718641394
27.8947368421053,0.438272840726693
29.5723684210526,0.455295744901764
30.625,0.473924731812222
33.0592105263158,0.493339141867847
35.7894736842105,0.51406737960025
37.3355263157895,0.535961464102849
37.796052631579,0.559076479067152
40.4276315789474,0.583711252312727
41.8092105263158,0.610736652018795
45.1315789473684,0.639500771614171
51.3157894736842,0.675555893772812
53.3552631578947,0.714981017107773
53.421052631579,0.756411606756261
55.4276315789474,0.80188839684877
58.9144736842105,0.852033607263156
60.921052631579,0.90506247650029
69.6052631578947,0.983549333858307
70.0986842105263,1.06988256274492
80.7894736842105,1.26642517677568
107.171052631579,2.07893893420853
