"feature","center","scale"
"dim_0",-0.429519743833721,0.604224921588855
"dim_1",-0.982381518545778,0.649724741999822
"dim_2",-1.08433434197164,0.550526988648305
"dim_3",-0.611447216105335,0.777437341230877
"dim_4",0.906151484266082,0.821687776530103
"dim_5",0.787283429943342,0.74217227994031
"dim_6",-0.416384569631439,0.655848683775251
"dim_7",-1.12080672212104,0.669724052553752
"dim_8",0.908667813470349,0.58546153021369
"dim_9",-0.59235573480738,0.509543263668739
"dim_10",0.0214654877504453,0.572218722390745
"dim_11",0.235561379128473,0.53882355774626
"dim_12",0.168504213515986,0.743211537047476
"dim_13",0.673433092858722,0.646920911392762
"dim_14",0.487768180098167,0.701074090718192
"dim_15",-0.808172107774497,0.804429116449346
"dim_16",0.0734255222762202,0.677166358276968
"dim_17",-0.635996102678411,0.547607017781304
"dim_18",1.46776916091429,0.894573449120443
"dim_19",-0.418918921352622,0.656324607344213
"dim_20",1.2743243000906,0.680161880783047
"dim_21",-0.775712830997369,0.43503781587692
"dim_22",-0.226008891724942,0.625169070011551
"dim_23",-0.175348110695152,0.684591937620837
"dim_24",-1.69897445440292,0.501731098348981
"dim_25",-1.53238531806249,0.596291326129988
"dim_26",0.011909960459997,0.502322392922398
"dim_27",-0.79950441700664,0.859825961275432
"dim_28",1.47804700053753,0.597284883771371
"dim_29",-0.362248281378576,0.468409638782837
"dim_30",-0.156634503955448,0.530039650207224
"dim_31",-0.158563711605173,0.431082796087647
"dim_32",-1.24153238025672,0.524691046325909
"dim_33",0.837336129552506,0.558752207290336
"dim_34",-0.515552565358837,0.451794686585017
"dim_35",-0.623717359992418,0.505511575246993
"dim_36",-2.42244315553219,0.57512452451657
"dim_37",0.0816933450467409,0.560790681068903
"dim_38",1.20132385712622,0.574100957074205
"dim_39",-0.25148366285597,0.421495504617817
"dim_40",-0.264389309638794,0.396632713654659
"dim_41",1.14337966308156,0.542861792474729
"dim_42",-1.00465207014312,0.813293092861865
"dim_43",0.288845642854242,0.596321833985345
"dim_44",-0.172733746943599,0.648435861957921
"dim_45",0.377547195718247,0.506193532428498
"dim_46",-0.0983512054058783,0.552759294634352
"dim_47",1.6822099134326,0.579502321667418
"dim_48",0.886685276370832,0.63946706182252
"dim_49",-0.870307630141999,0.552365177493003
"dim_50",0.615546215254259,0.537519368982624
"dim_51",0.00178454798507564,0.540214392351964
"dim_52",-0.656067675384297,0.537442364026429
"dim_53",0.642834147692044,0.581138227164687
"dim_54",-1.44084585470722,0.548363721061754
"dim_55",-1.91452801145138,0.575569925409013
"dim_56",-0.894663889527796,0.460998191334007
"dim_57",0.962682015916452,0.432751731008024
"dim_58",0.053275671108388,0.448859656349533
"dim_59",0.455949941017984,0.505429165391182
"dim_60",0.549877313436306,0.59995752099488
"dim_61",-0.766128729382887,0.615625027645947
"dim_62",-1.43284955990124,0.550010011039388
"dim_63",-0.0785498164356389,0.551204093681693
"dim_64",-0.939864860205574,0.627438436941889
"dim_65",-0.945952645764547,0.49995715760816
"dim_66",0.227119207249439,0.631406050671826
"dim_67",0.10365750757046,0.567995027898371
"dim_68",0.00463367229466267,0.67799945956695
"dim_69",0.330437075750942,0.651278317454199
"dim_70",-0.325314950203384,0.604075926880603
"dim_71",-0.229170596417773,0.627474365914542
"dim_72",-1.05044395581205,0.724598511820828
"dim_73",0.699328975220944,0.7473681123682
"dim_74",0.336265661997443,0.684916288511577
"dim_75",-1.25179403767465,0.76116606543211
"dim_76",-1.34876752951519,0.552343584938166
"dim_77",-0.105160211795505,0.533276893593189
"dim_78",-0.116929149229397,0.473837574414701
"dim_79",-0.0984583603117897,0.447053206555654
"dim_80",-0.0190482477409805,0.471983973453796
"dim_81",-1.39073669479248,0.575460365639555
"dim_82",-0.439669449700716,0.424972401576785
